"GEOID","NAME","year","Estimate!!Total","Estimate!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"01","Alabama",2010,4785298,2322243,158291,154398,164893,104590,75593,35161,38638,94380,149164,144462,149505,156051,170347,166037,148405,58228,75227,42556,55840,71371,51390,34816,22900,2463055,149778,155260,153567,94651,73243,38548,40919,91867,157069,150958,153980,161558,175163,177480,164911,61408,83594,44820,64199,90841,73128,53569,52544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02","Alaska",2010,713985,372436,27406,26347,28085,16477,10063,6832,7412,15550,30013,25464,21477,27685,28983,28169,28150,7261,11532,5866,5382,6125,4101,2602,1454,341549,26176,23523,24287,16084,8986,5710,4842,15628,24826,23387,19992,24306,27304,27773,22339,7972,10605,4340,4790,7694,4477,3890,2618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04","Arizona",2010,6413737,3190700,234650,221886,241574,138738,98991,45851,47234,137890,224458,213257,208029,209410,211769,203591,180178,73222,95988,54767,76279,106947,76088,51277,38626,3223037,221126,226737,215765,131935,90522,45476,43746,124858,216416,205309,210170,196161,213318,214815,196973,77977,108922,64000,88619,111176,81587,71129,66300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05","Arkansas",2010,2921606,1430837,101141,97620,103272,59500,47203,21392,21695,55937,94224,91874,93480,91157,99296,99781,88452,34071,47281,27185,37356,47016,33794,21629,16481,1490769,93310,98238,98247,59802,43928,23029,23123,54747,92830,89119,95601,91605,102548,103419,93455,37494,53660,29571,40240,53902,40804,35809,36288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06","California",2010,37349363,18570505,1293094,1287029,1328047,857360,602241,309375,302914,840184,1401636,1314916,1296031,1313226,1336611,1266590,1060346,390374,514101,271371,340189,448701,339898,246103,210168,18778858,1235804,1249625,1250239,806031,560058,292574,267424,770164,1330091,1276810,1297565,1284243,1344469,1297867,1127146,408405,567278,308015,401470,521299,427242,351114,403925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08","Colorado",2010,5049071,2531362,176774,180588,169697,104643,73276,35470,40129,105650,191560,184529,180601,177389,183836,185150,162879,59522,74537,37587,49293,61020,41867,30628,24737,2517709,165503,173933,160848,96692,68883,32057,29463,107420,179186,173024,178412,167104,185118,186947,168655,58818,79140,39675,53740,69529,53042,43419,47101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09","Connecticut",2010,3577073,1738918,101888,112332,125369,76755,51071,25032,24353,67390,107085,102822,106026,130804,140817,139054,115647,39533,59506,31204,39253,49368,37086,30310,26213,1838155,99797,110143,115723,73281,48387,25921,22044,63204,106810,105033,117538,129749,148815,146340,121150,45141,64360,33467,46917,58448,51131,43355,61401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Delaware",2010,899769,436608,28725,27632,30226,18923,14967,7638,7858,16716,27478,26986,28186,27798,33071,31483,28781,10811,12622,8393,12354,13352,9464,8024,5120,463161,27370,28445,26728,18020,15810,6487,5648,17797,28828,27224,28222,32030,34016,34384,31810,11899,15680,9924,12417,16230,12443,10496,11253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","District of Columbia",2010,604453,285729,16786,14826,10965,8919,11677,5053,5052,16750,33249,26904,20354,20148,19562,18120,15441,6215,8040,3964,6171,6316,4182,3858,3177,318724,16075,12442,13004,8250,13842,7079,6671,20238,37501,28668,22791,18111,18789,18906,17491,7759,9348,5165,7424,8470,7498,5702,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Florida",2010,18843326,9212548,542752,549618,585643,370685,262540,148642,135066,357940,586438,556087,585546,621548,691848,649463,574723,214463,321781,186256,268945,355679,278661,204180,164044,9630778,525234,531772,552482,341333,256359,134054,129918,342109,574330,554095,606797,624100,707018,691639,642246,242723,359135,209949,301130,416725,328197,275927,283506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
