"","State","Type","County","Violent crime","Murder and nonnegligent manslaughter","Rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson","year"
"1","ALABAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
"2","ARIZONA","Metropolitan","Cochise",47,0,1,3,43,531,195,273,63,5,2019
"3","ARIZONA","Metropolitan","Coconino",127,6,17,1,103,264,59,180,25,6,2019
"4","ARIZONA","Metropolitan","Mohave",135,3,6,19,107,1983,573,1197,213,13,2019
"5","ARIZONA","Metropolitan","Pinal",197,3,5,18,171,1469,321,987,161,NA,2019
"6","ARIZONA","Metropolitan","Yavapai",193,5,0,4,184,860,155,608,97,10,2019
"7","ARIZONA","Metropolitan","Yuma",136,7,17,6,106,807,223,502,82,7,2019
"8","ARIZONA","Nonmetropolitan","Gila",176,1,3,5,167,384,65,252,67,NA,2019
"9","ARIZONA","Nonmetropolitan","Graham",61,4,0,0,57,104,20,76,8,12,2019
"10","ARIZONA","Nonmetropolitan","La Paz",40,1,2,3,34,310,87,181,42,1,2019
"11","ARIZONA","Nonmetropolitan","Navajo",43,1,0,5,37,341,192,115,34,5,2019
"12","ARIZONA","Nonmetropolitan","Santa Cruz",1,0,0,0,1,117,35,66,16,0,2019
"13","ARKANSAS","Metropolitan","Benton",159,3,32,3,121,NA,NA,188,61,1,2019
"14","ARKANSAS","Metropolitan","Cleveland",20,0,4,0,16,162,90,56,16,2,2019
"15","ARKANSAS","Metropolitan","Craighead",48,2,16,1,29,315,108,168,39,3,2019
"16","ARKANSAS","Metropolitan","Crawford",55,1,1,1,52,254,37,188,29,0,2019
"17","ARKANSAS","Metropolitan","Crittenden",123,3,9,8,103,286,83,182,21,1,2019
"18","ARKANSAS","Metropolitan","Faulkner",116,1,18,5,92,749,176,476,97,6,2019
"19","ARKANSAS","Metropolitan","Garland",279,0,25,8,246,NA,NA,675,145,0,2019
"20","ARKANSAS","Metropolitan","Grant",28,0,3,1,24,167,53,86,28,1,2019
"21","ARKANSAS","Metropolitan","Jefferson",78,4,12,2,60,414,110,247,57,7,2019
"22","ARKANSAS","Metropolitan","Lincoln",14,0,7,0,7,40,15,20,5,0,2019
"23","ARKANSAS","Metropolitan","Little River",10,0,1,1,8,93,27,58,8,1,2019
"24","ARKANSAS","Metropolitan","Lonoke",75,1,8,0,66,374,68,220,86,4,2019
"25","ARKANSAS","Metropolitan","Madison",44,1,5,1,37,169,48,99,22,3,2019
"26","ARKANSAS","Metropolitan","Miller",57,0,8,1,48,199,68,113,18,0,2019
"27","ARKANSAS","Metropolitan","Perry",29,0,7,0,22,95,23,72,0,0,2019
"28","ARKANSAS","Metropolitan","Poinsett",42,0,4,0,38,138,60,50,28,0,2019
"29","ARKANSAS","Metropolitan","Pulaski",428,4,31,27,366,1638,353,1123,162,9,2019
"30","ARKANSAS","Metropolitan","Saline",187,7,31,2,147,NA,NA,376,81,2,2019
"31","ARKANSAS","Metropolitan","Sebastian",45,0,6,0,39,223,83,127,13,1,2019
"32","ARKANSAS","Metropolitan","Washington",177,5,6,1,165,572,139,346,87,8,2019
"33","ARKANSAS","Nonmetropolitan","Arkansas",15,0,1,1,13,58,14,42,2,1,2019
"34","ARKANSAS","Nonmetropolitan","Ashley",22,0,1,2,19,153,38,98,17,3,2019
"35","ARKANSAS","Nonmetropolitan","Baxter",70,1,15,1,53,616,81,472,63,5,2019
"36","ARKANSAS","Nonmetropolitan","Boone",199,0,30,1,168,269,79,150,40,1,2019
"37","ARKANSAS","Nonmetropolitan","Bradley",8,0,0,0,8,51,31,12,8,0,2019
"38","ARKANSAS","Nonmetropolitan","Calhoun",11,0,0,0,11,68,22,34,12,0,2019
"39","ARKANSAS","Nonmetropolitan","Carroll",45,0,5,1,39,209,52,111,46,1,2019
"40","ARKANSAS","Nonmetropolitan","Chicot",13,0,2,0,11,76,18,58,0,0,2019
"41","ARKANSAS","Nonmetropolitan","Clark",11,0,0,0,11,70,19,42,9,0,2019
"42","ARKANSAS","Nonmetropolitan","Cleburne",142,0,21,4,117,297,86,185,26,6,2019
"43","ARKANSAS","Nonmetropolitan","Columbia",23,1,2,0,20,67,21,37,9,0,2019
"44","ARKANSAS","Nonmetropolitan","Conway",46,2,13,1,30,234,43,164,27,9,2019
"45","ARKANSAS","Nonmetropolitan","Drew",16,0,4,0,12,66,23,37,6,0,2019
